,Year,Month,Day,Start_Hour,End_Hour,Price
152,2016.0,9.0,7.0,15.0,16.0,26.80615
153,2016.0,9.0,7.0,21.0,22.0,34.6176
154,2016.0,9.0,8.0,4.0,5.0,40.90104
155,2016.0,9.0,7.0,8.0,9.0,29.08052
156,2016.0,9.0,7.0,14.0,15.0,33.97286
157,2016.0,9.0,7.0,18.0,19.0,24.60016
158,2016.0,9.0,7.0,19.0,20.0,28.41041
159,2016.0,9.0,8.0,3.0,4.0,50.9577
160,2016.0,9.0,7.0,9.0,10.0,28.27401
161,2016.0,9.0,7.0,12.0,13.0,32.16461
162,2016.0,9.0,7.0,16.0,17.0,22.76798
163,2016.0,9.0,8.0,1.0,2.0,57.49441
164,2016.0,9.0,8.0,2.0,3.0,62.04672
165,2016.0,9.0,7.0,17.0,18.0,22.81751
166,2016.0,9.0,7.0,7.0,8.0,30.36851
167,2016.0,9.0,8.0,0.0,1.0,46.39048
168,2016.0,9.0,8.0,19.0,20.0,28.07827
169,2016.0,9.0,9.0,4.0,5.0,37.16083
170,2016.0,9.0,8.0,8.0,9.0,27.37784
171,2016.0,9.0,8.0,16.0,17.0,24.11628
172,2016.0,9.0,9.0,0.0,1.0,41.52103
173,2016.0,9.0,8.0,18.0,19.0,26.06897
174,2016.0,9.0,9.0,1.0,2.0,51.75257
175,2016.0,9.0,9.0,2.0,3.0,52.92333
176,2016.0,9.0,9.0,5.0,6.0,35.12005
177,2016.0,9.0,8.0,10.0,11.0,26.15285
178,2016.0,9.0,8.0,13.0,14.0,32.57421
179,2016.0,9.0,8.0,14.0,15.0,32.06907
180,2016.0,9.0,8.0,15.0,16.0,26.96075
181,2016.0,9.0,8.0,17.0,18.0,24.0895
182,2016.0,9.0,8.0,21.0,22.0,31.435
183,2016.0,9.0,8.0,22.0,23.0,33.92298
184,2016.0,9.0,8.0,20.0,21.0,30.3999
185,2016.0,9.0,8.0,23.0,0.0,35.66036
186,2016.0,9.0,8.0,7.0,8.0,28.99409
187,2016.0,9.0,8.0,11.0,12.0,27.40761
188,2016.0,9.0,8.0,12.0,13.0,30.20905
189,2016.0,9.0,8.0,9.0,10.0,26.77187
190,2016.0,9.0,9.0,3.0,4.0,46.52651
191,2016.0,9.0,9.0,6.0,7.0,30.57612
192,2016.0,9.0,9.0,18.0,19.0,30.2187
193,2016.0,9.0,9.0,12.0,13.0,32.46669
194,2016.0,9.0,10.0,3.0,4.0,46.48451
195,2016.0,9.0,10.0,5.0,6.0,36.60008
196,2016.0,9.0,9.0,11.0,12.0,30.48095
197,2016.0,9.0,10.0,6.0,7.0,33.73203
198,2016.0,9.0,9.0,23.0,0.0,42.14166
199,2016.0,9.0,10.0,0.0,1.0,45.21577
200,2016.0,9.0,10.0,4.0,5.0,39.67794
201,2016.0,9.0,9.0,10.0,11.0,28.14079
202,2016.0,9.0,9.0,16.0,17.0,27.79536
203,2016.0,9.0,9.0,19.0,20.0,31.44148
204,2016.0,9.0,10.0,2.0,3.0,56.41538
205,2016.0,9.0,9.0,13.0,14.0,35.6133
206,2016.0,9.0,9.0,20.0,21.0,34.18802
207,2016.0,9.0,9.0,21.0,22.0,36.18876
208,2016.0,9.0,9.0,14.0,15.0,35.9698
209,2016.0,9.0,9.0,15.0,16.0,31.53345
210,2016.0,9.0,9.0,7.0,8.0,32.55893
211,2016.0,9.0,9.0,8.0,9.0,30.6761
212,2016.0,9.0,9.0,9.0,10.0,28.28919
213,2016.0,9.0,9.0,22.0,23.0,38.40519
214,2016.0,9.0,10.0,1.0,2.0,55.19222
215,2016.0,9.0,9.0,17.0,18.0,27.65832
216,2016.0,9.0,10.0,23.0,0.0,36.29031
217,2016.0,9.0,11.0,3.0,4.0,45.55343
218,2016.0,9.0,10.0,10.0,11.0,29.08856
219,2016.0,9.0,10.0,8.0,9.0,30.24087
220,2016.0,9.0,10.0,13.0,14.0,31.14693
221,2016.0,9.0,10.0,14.0,15.0,30.42973
222,2016.0,9.0,10.0,20.0,21.0,30.49968
223,2016.0,9.0,10.0,21.0,22.0,32.4754
224,2016.0,9.0,10.0,16.0,17.0,24.65941
225,2016.0,9.0,10.0,7.0,8.0,32.37699
226,2016.0,9.0,10.0,12.0,13.0,31.00718
227,2016.0,9.0,10.0,17.0,18.0,25.2183
228,2016.0,9.0,11.0,1.0,2.0,56.52296
229,2016.0,9.0,11.0,2.0,3.0,58.06238
230,2016.0,9.0,10.0,11.0,12.0,29.26004
231,2016.0,9.0,10.0,18.0,19.0,26.99684
232,2016.0,9.0,11.0,5.0,6.0,34.55592
233,2016.0,9.0,11.0,6.0,7.0,32.42992
234,2016.0,9.0,10.0,9.0,10.0,29.72984
235,2016.0,9.0,10.0,15.0,16.0,26.42299
236,2016.0,9.0,11.0,0.0,1.0,42.68044
237,2016.0,9.0,11.0,4.0,5.0,37.47416
238,2016.0,9.0,10.0,19.0,20.0,28.73526
239,2016.0,9.0,10.0,22.0,23.0,35.06489
240,2016.0,9.0,11.0,13.0,14.0,29.76558
241,2016.0,9.0,12.0,2.0,3.0,52.12711
242,2016.0,9.0,11.0,7.0,8.0,29.22504
243,2016.0,9.0,11.0,11.0,12.0,29.00795
244,2016.0,9.0,11.0,18.0,19.0,21.74462
245,2016.0,9.0,11.0,22.0,23.0,28.47851
246,2016.0,9.0,11.0,17.0,18.0,18.89744
247,2016.0,9.0,11.0,8.0,9.0,28.00036
248,2016.0,9.0,11.0,10.0,11.0,28.31181
249,2016.0,9.0,12.0,5.0,6.0,32.70712
250,2016.0,9.0,11.0,14.0,15.0,27.09167
251,2016.0,9.0,11.0,16.0,17.0,16.56108
252,2016.0,9.0,12.0,0.0,1.0,36.6469
253,2016.0,9.0,12.0,4.0,5.0,36.61521
254,2016.0,9.0,11.0,9.0,10.0,28.91921
255,2016.0,9.0,11.0,15.0,16.0,21.11053
256,2016.0,9.0,11.0,19.0,20.0,24.75831
257,2016.0,9.0,11.0,21.0,22.0,25.63704
258,2016.0,9.0,11.0,20.0,21.0,26.28801
259,2016.0,9.0,12.0,1.0,2.0,46.6853
260,2016.0,9.0,12.0,3.0,4.0,43.86564
261,2016.0,9.0,12.0,6.0,7.0,29.19071
262,2016.0,9.0,11.0,12.0,13.0,29.9819
263,2016.0,9.0,11.0,23.0,0.0,30.83857
264,2016.0,9.0,12.0,12.0,13.0,29.4751
265,2016.0,9.0,12.0,19.0,20.0,21.69795
266,2016.0,9.0,13.0,4.0,5.0,36.40497
267,2016.0,9.0,12.0,16.0,17.0,20.37766
268,2016.0,9.0,12.0,11.0,12.0,25.8067
269,2016.0,9.0,12.0,8.0,9.0,24.47478
270,2016.0,9.0,12.0,9.0,10.0,24.58639
271,2016.0,9.0,13.0,5.0,6.0,33.08634
272,2016.0,9.0,13.0,3.0,4.0,44.09711
273,2016.0,9.0,13.0,2.0,3.0,48.97418
274,2016.0,9.0,12.0,14.0,15.0,33.03501
275,2016.0,9.0,12.0,20.0,21.0,23.85237
276,2016.0,9.0,12.0,17.0,18.0,20.48867
277,2016.0,9.0,12.0,10.0,11.0,24.50236
278,2016.0,9.0,12.0,21.0,22.0,24.32692
279,2016.0,9.0,12.0,18.0,19.0,21.72232
280,2016.0,9.0,12.0,7.0,8.0,25.40534
281,2016.0,9.0,13.0,6.0,7.0,29.93581
282,2016.0,9.0,13.0,0.0,1.0,32.77223
283,2016.0,9.0,12.0,15.0,16.0,22.58993
284,2016.0,9.0,13.0,1.0,2.0,42.59916
285,2016.0,9.0,12.0,23.0,0.0,29.47293
286,2016.0,9.0,12.0,22.0,23.0,25.82287
287,2016.0,9.0,12.0,13.0,14.0,33.07761
288,2016.0,9.0,14.0,2.0,3.0,50.94409
289,2016.0,9.0,13.0,13.0,14.0,34.84399
290,2016.0,9.0,14.0,5.0,6.0,34.40795
291,2016.0,9.0,13.0,9.0,10.0,25.20081
292,2016.0,9.0,14.0,0.0,1.0,33.30866
293,2016.0,9.0,13.0,14.0,15.0,35.47214
294,2016.0,9.0,14.0,4.0,5.0,36.37581
